Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Kakuna,Bug Bite,Poison Sting,Return,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,Aerial Ace,Fell Stinger,Infestation,Poison Jab,Return,Sludge Bomb,X-Scissor,* Drill Run,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey,Aerial Ace,Air Cutter,Quick Attack,Tackle,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeotto,Aerial Ace,Air Cutter,Steel Wing,Twister,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,Aerial Ace,Air Slash,Brave Bird,Hurricane,Steel Wing,* Gust,**Air Cutter,**Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,Body Slam,Dig,Hyper Fang,Quick Attack,Return,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata-Alola,Crunch,Hyper Fang,Quick Attack,Shadow Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,Bite,Dig,Hyper Beam,Hyper Fang,Quick Attack,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate-Alola,Bite,Crunch,Hyper Beam,Hyper Fang,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearow,Aerial Ace,Drill Peck,Peck,Quick Attack,Sky Attack,**Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearow,Aerial Ace,Drill Run,Peck,Sky Attack,Steel Wing,**Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekans,Acid,Poison Fang,Poison Sting,Sludge Bomb,Wrap,**Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbok,Acid,Acid Spray,Bite,Dark Pulse,Dragon Tail,Gunk Shot,Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,Discharge,Present,Present,Quick Attack,Thunder Shock,Thunderbolt,Wild Charge,**Surf,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu,Brick Break,Charm,Skull Bash,Spark,Thunder Punch,Thunder Shock,Volt Switch,Wild Charge,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,Grass Knot,Psychic,Spark,Thunder Punch,Thunder Shock,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,Dig,Mud Shot,Return,Rock Slide,Sand Tomb,Scratch,**Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew-Alola,Blizzard,Gyro Ball,Metal Claw,Night Slash,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,Bulldoze,Earthquake,Metal Claw,Mud Shot,Return,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash-Alola,Blizzard,Bulldoze,Gyro Ball,Ice Punch,Metal Claw,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran-F,Bite,Body Slam,Poison Fang,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,Bite,Dig,Poison Fang,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,Bite,Earth Power,Earthquake,Poison Jab,Sludge Wave,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran-M,Body Slam,Horn Attack,Peck,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorino,Dig,Horn Attack,Poison Jab,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoking,Earth Power,Earthquake,Iron Tail,Megahorn,Poison Jab,Sand Tomb,Sludge Wave,**Fury Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefairy,Body Slam,Disarming Voice,Moonblast,Pound,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefable,Charge Beam,Charm,Dazzling Gleam,Meteor Mash,Moonblast,Psychic,Zen Headbutt,**Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpix,Body Slam,Ember,Flame Charge,Flamethrower,Quick Attack,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpix-Alola,Blizzard,Dark Pulse,Ice Beam,Powder Snow,Weather Ball (Ice),Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales,Feint Attack,Fire Spin,Heat Wave,Overheat,Psyshock,Return,Solar Beam,Weather Ball (Fire),**Ember,**Fire Blast,**Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales-Alola,Blizzard,Charm,Dazzling Gleam,Feint Attack,Ice Beam,Powder Snow,Psyshock,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jigglypuff,Dazzling Gleam,Disarming Voice,Feint Attack,Gyro Ball,Pound,**Body Slam,**Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglytuff,Charm,Dazzling Gleam,Feint Attack,Hyper Beam,Ice Beam,Play Rough,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zubat,Air Cutter,Bite,Poison Fang,Quick Attack,Return,Swift,**Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbat,Air Cutter,Bite,Poison Fang,Return,Shadow Ball,Wing Attack,**Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oddish,Acid,Moonblast,Razor Leaf,Return,Seed Bomb,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloom,Acid,Moonblast,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vileplume,Acid,Moonblast,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paras,Bug Bite,Cross Poison,Scratch,Seed Bomb,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasect,Cross Poison,Fury Cutter,Solar Beam,Struggle Bug,X-Scissor,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venonat,Bug Bite,Confusion,Poison Fang,Psybeam,Return,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomoth,Bug Buzz,Confusion,Infestation,Poison Fang,Psychic,Return,Silver Wind,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,Dig,Mud Bomb,Mud Slap,Rock Tomb,Scratch,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett-Alola,Dig,Metal Claw,Mud Bomb,Mud Slap,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,Earthquake,Mud Bomb,Mud Slap,Stone Edge,Sucker Punch,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio-Alola,Earthquake,Iron Head,Metal Claw,Mud Bomb,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth,Bite,Dark Pulse,Foul Play,Night Slash,Return,Scratch,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth-Alola,Bite,Dark Pulse,Foul Play,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth-Galar,Dig,Gyro Ball,Metal Claw,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,Feint Attack,Foul Play,Payback,Play Rough,Power Gem,Return,Scratch,**Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian-Alola,Dark Pulse,Feint Attack,Foul Play,Payback,Play Rough,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psyduck,Aqua Tail,Cross Chop,Psybeam,Return,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golduck,Bubble Beam,Confusion,Cross Chop,Hydro Pump,Ice Beam,Psychic,Return,Synchronoise,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankey,Brick Break,Cross Chop,Karate Chop,Low Sweep,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeape,Close Combat,Counter,Ice Punch,Low Kick,Low Sweep,Night Slash,**Cross Chop,**Karate Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growlithe,Bite,Body Slam,Ember,Flame Wheel,Flamethrower,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,Crunch,Fire Blast,Fire Fang,Flamethrower,Return,Snarl,Thunder Fang,Wild Charge,**Bite,**Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliwag,Body Slam,Bubble,Bubble Beam,Mud Bomb,Mud Shot,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliwhirl,Bubble,Bubble Beam,Mud Bomb,Mud Shot,Return,Water Pulse,**Scald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliwrath,Bubble,Dynamic Punch,Hydro Pump,Ice Punch,Mud Shot,Power-Up Punch,Return,Rock Smash,Scald,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abra,Charge Beam,Psyshock,Return,Shadow Ball,Signal Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadabra,Confusion,Dazzling Gleam,Psybeam,Psycho Cut,Return,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,Confusion,Fire Punch,Focus Blast,Future Sight,Psycho Cut,Return,Shadow Ball,* Counter,**Dazzling Gleam,**Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machop,Brick Break,Cross Chop,Karate Chop,Low Sweep,Rock Smash,**Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machoke,Brick Break,Dynamic Punch,Karate Chop,Low Kick,Submission,**Cross Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machamp,Bullet Punch,Close Combat,Counter,Cross Chop,Dynamic Punch,Heavy Slam,Rock Slide,* Payback,**Karate Chop,**Stone Edge,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellsprout,Acid,Power Whip,Return,Sludge Bomb,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weepinbell,Acid,Bullet Seed,Power Whip,Return,Seed Bomb,Sludge Bomb,**Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victreebel,Acid,Acid Spray,Leaf Blade,Leaf Tornado,Razor Leaf,Return,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentacool,Bubble,Bubble Beam,Poison Sting,Water Pulse,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentacruel,Acid,Acid Spray,Blizzard,Hydro Pump,Poison Jab,Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geodude,Dig,Rock Slide,Rock Throw,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geodude-Alola,Rock Slide,Rock Throw,Rock Tomb,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graveler,Dig,Mud Slap,Rock Blast,Rock Throw,Stone Edge,**Rock Slide,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graveler-Alola,Rock Blast,Rock Throw,Stone Edge,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem,Ancient Power,Earthquake,Mud Slap,Rock Blast,Rock Throw,Stone Edge,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem-Alola,Rock Blast,Rock Throw,Stone Edge,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponyta,Ember,Flame Charge,Flame Wheel,Stomp,Tackle,Weather Ball (Fire),**Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponyta-Galar,Low Kick,Play Rough,Psybeam,Psycho Cut,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapidash,Drill Run,Fire Blast,Fire Spin,Flame Charge,Heat Wave,Incinerate,Low Kick,Weather Ball (Fire),**Ember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapidash-Galar,Body Slam,Low Kick,Megahorn,Play Rough,Psychic,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowpoke,Confusion,Psychic,Psyshock,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowbro,Confusion,Ice Beam,Psychic,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnemite,Discharge,Magnet Bomb,Return,Spark,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magneton,Charge Beam,Discharge,Flash Cannon,Magnet Bomb,Return,Spark,Thunder Shock,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farfetch'd,Aerial Ace,Air Cutter,Air Slash,Fury Cutter,Leaf Blade,**Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farfetch'd-Galar,Fury Cutter,Rock Smash,Brave Bird,Brick Break,Leaf Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doduo,Aerial Ace,Brave Bird,Drill Peck,Peck,Quick Attack,**Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodrio,Aerial Ace,Brave Bird,Drill Peck,Feint Attack,Steel Wing,**Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seel,Aqua Tail,Aurora Beam,Ice Shard,Icy Wind,Lick,**Aqua Jet,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewgong,Aurora Beam,Blizzard,Frost Breath,Iron Tail,Water Pulse,**Aqua Jet,**Ice Shard,**Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimer,Mud Bomb,Mud Slap,Poison Jab,Return,Sludge,Sludge Bomb,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimer-Alola,Bite,Crunch,Gunk Shot,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muk,Acid Spray,Dark Pulse,Gunk Shot,Infestation,Poison Jab,Return,Sludge Wave,Thunder Punch,**Lick,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muk-Alola,Acid Spray,Bite,Dark Pulse,Gunk Shot,Poison Jab,Sludge Wave,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellder,Bubble Beam,Ice Shard,Icy Wind,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,Aurora Beam,Avalanche,Frost Breath,Hydro Pump,Ice Shard,Icy Wind,**Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastly,Astonish,Dark Pulse,Lick,Night Shade,Sludge Bomb,**Ominous Wind,**Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunter,Astonish,Dark Pulse,Shadow Ball,Shadow Claw,Shadow Punch,Sludge Bomb,**Lick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,Focus Blast,Hex,Shadow Ball,Shadow Claw,Sludge Bomb,Sucker Punch,* Shadow Punch,* Lick,* Psychic,**Dark Pulse,**Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onix,Heavy Slam,Rock Throw,Sand Tomb,Stone Edge,Tackle,**Iron Head,**Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowzee,Confusion,Pound,Psybeam,Psychic,Psyshock,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypno,Confusion,Fire Punch,Focus Blast,Future Sight,Ice Punch,Psychic,Return,Shadow Ball,Thunder Punch,Zen Headbutt,**Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krabby,Bubble,Bubble Beam,Mud Shot,Vise Grip,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingler,Bubble,Crabhammer,Metal Claw,Vise Grip,Water Pulse,X-Scissor,**Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingler,Bubble,Crabhammer,Metal Claw,Mud Shot,Vise Grip,Water Pulse,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltorb,Discharge,Gyro Ball,Spark,Tackle,Thunderbolt,**Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrode,Discharge,Foul Play,Hyper Beam,Spark,Thunderbolt,Volt Switch,**Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggcute,Ancient Power,Bullet Seed,Confusion,Psychic,Return,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor,Bullet Seed,Confusion,Extrasensory,Psychic,Return,Seed Bomb,Solar Beam,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor-Alola,Bullet Seed,Dragon Pulse,Dragon Tail,Seed Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubone,Bone Club,Bulldoze,Dig,Mud Slap,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marowak,Bone Club,Dig,Earthquake,Mud Slap,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marowak-Alola,Bone Club,Fire Blast,Fire Spin,Flame Wheel,Hex,Rock Smash,Shadow Ball,* Shadow Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonlee,Close Combat,Low Kick,Low Sweep,Return,Rock Smash,Stone Edge,**Brick Break,**Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonchan,Bullet Punch,Close Combat,Counter,Fire Punch,Ice Punch,Power-Up Punch,Return,Thunder Punch,**Brick Break,**Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lickitung,Hyper Beam,Lick,Power Whip,Stomp,Zen Headbutt,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffing,Dark Pulse,Infestation,Sludge,Sludge Bomb,Tackle,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing,Dark Pulse,Infestation,Shadow Ball,Sludge Bomb,Tackle,Thunderbolt,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing-Galar,Hyper Beam,Overheat,Play Rough,Sludge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyhorn,Bulldoze,Horn Attack,Mud Slap,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhydon,Earthquake,Mud Slap,Rock Smash,Stone Edge,Surf,**Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,Dazzling Gleam,Hyper Beam,Pound,Psychic,Zen Headbutt,✝ Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangela,Grass Knot,Infestation,Sludge Bomb,Solar Beam,Vine Whip,**Power Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaskhan,Crunch,Earthquake,Low Kick,Mud Slap,Outrage,Power-Up Punch,**Brick Break,**Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsea,Bubble,Bubble Beam,Dragon Pulse,Flash Cannon,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seadra,Aurora Beam,Dragon Breath,Dragon Pulse,Hydro Pump,Water Gun,**Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldeen,Aqua Tail,Horn Attack,Mud Shot,Peck,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaking,Ice Beam,Megahorn,Peck,Water Pulse,Waterfall,**Drill Run,**Icy Wind,**Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staryu,Bubble Beam,Power Gem,Swift,Tackle,Water Gun,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power,Hydro Pump,Ice Beam,Power Gem,Psychic,Thunder,Water Gun,**Tackle,✝ Psybeam,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Mime,Confusion,Psybeam,Psychic,Shadow Ball,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyther,Aerial Ace,Air Slash,Fury Cutter,Night Slash,Return,X-Scissor,**Bug Buzz,**Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jynx,Avalanche,Confusion,Draining Kiss,Focus Blast,Frost Breath,Psyshock,**Ice Punch,**Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electabuzz,Low Kick,Return,Thunder,Thunder Punch,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magmar,Ember,Fire Blast,Fire Punch,Flamethrower,Karate Chop,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinsir,Bug Bite,Close Combat,Fury Cutter,Return,Rock Smash,Superpower,Vise Grip,X-Scissor,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,Earthquake,Horn Attack,Iron Head,Tackle,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magikarp,Return,Splash,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,Bite,Crunch,Dragon Breath,Hydro Pump,Outrage,Return,Twister,Waterfall,**Dragon Pulse,**Dragon Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapras,Blizzard,Frost Breath,Hydro Pump,Return,Skull Bash,Surf,Water Gun,* Ice Beam,* Ice Shard,**Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,Struggle,Transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eevee,Dig,Quick Attack,Swift,Tackle,* Last Resort,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,Aqua Tail,Hydro Pump,Water Gun,Water Pulse,* Last Resort,* Scald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,Discharge,Thunder,Thunder Shock,Thunderbolt,Volt Switch,* Last Resort,* Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flareon,Ember,Fire Blast,Fire Spin,Flamethrower,Overheat,Return,* Last Resort,* Superpower,**Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon,Charge Beam,Hidden Power,Hyper Beam,Return,Solar Beam,Zap Cannon,**Discharge,**Psybeam,**Signal Beam,**Tackle,**Zen Headbutt,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omanyte,Ancient Power,Bubble Beam,Mud Shot,Return,Rock Blast,Water Gun,**Brine,**Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,Ancient Power,Hydro Pump,Mud Shot,Return,Rock Blast,Water Gun,**Rock Slide,**Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabuto,Ancient Power,Aqua Jet,Mud Shot,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
